District Name;Constituency Name;;Ward Name;Centre Code;Centre Name;Polling Station;Number Of Registred Voters;Null And Void;Total Number Voted;"LAZARUS
CHAKWERA (MCP)";"PETER  DOMINICO SINOSI DRIVER
KUWANI (MMD)";"ARTHUR PETER
MUTHARIKA (DPP)"
Chitipa;Chitipa East;;Iponjola;01001;Chuba School;PS1;417;1;339;298;2;38
;;;;01002;Kasumbi School;PS1;603;2;503;493;1;7
;;;;01003;Iponjola Schoool;PS1;392;5;319;287;2;25
;;;;01004;Itulo School;PS1;360;1;277;261;1;14
;;;;01005;Chinongo School;PS1;567;3;374;330;4;37
;;;;01006;Sofwe School;PS1;257;8;227;204;5;10
;;;;01007;Mughese School;PS1;342;4;298;274;0;20
;;;;01008;Mughona School;PS1;353;0;244;237;4;3
;;;;01009;Malira School;PS1;319;2;273;228;5;38
;;;;01010;Chanya School;PS1;491;0;406;390;1;15
;;;;01011;Chilashi School;PS1;239;1;175;155;2;17
;;;;01012;Lughesyo School;PS1;1,189;2;469;426;0;41
;;;;;;PS2;1,189;0;478;430;6;42
;;;;01013;Misuku Coffee Authority;PS1;272;0;228;213;1;14
;;;;01014;Nyungu School;PS1;380;1;287;227;1;58
;;;;01015;Ibabala School;PS1;388;3;325;241;4;77
;;;;01016;Kapyela School;PS1;200;1;161;143;5;12
;;;;01145;Ipyana School;PS1;376;1;264;208;2;53
;;;Kapoka;01017;Chisansu School;PS1;797;0;553;425;11;117
;;;;01018;Chatu School;PS1;377;1;315;296;2;16
;;;;01019;Chipwela School;PS1;576;2;433;373;14;44
;;;;01020;Chisitu School;PS1;229;0;163;151;2;10
;;;;01021;Naching'anda School;PS1;972;0;738;498;17;223
;;;;01022;Kapoka School;PS1;730;1;555;423;8;123
;;;;01023;Chibanda School;PS1;411;1;357;331;2;23
;;;;01024;Mwandambo School;PS1;260;1;196;175;6;14
;;;;01025;Kasitu School;PS1;383;0;295;224;6;65
;;;;01026;Malamula School;PS1;123;0;57;37;4;16
;;;;01027;Kasaghala School;PS1;531;3;467;410;5;49
;;;;01028;Sokola School;PS1;433;7;323;295;2;19
;;;;01029;Mutogha School;PS1;416;2;257;235;7;13
;;;;01030;Nakabushi School;PS1;225;2;166;144;0;20
;;;;01146;Kalenge CCAP JP School;PS1;228;0;201;186;3;12
;Chitipa South;;Mahowe;01031;Mibanga;PS1;631;2;411;334;14;61
;;;;01032;Karopa;PS1;665;1;312;238;17;56
;;;;01033;Kapirinkhonde;PS1;994;1;490;450;14;25
;;;;01034;Mwenje;PS1;569;1;326;268;12;45
;;;;01035;Kamphyongo;PS1;860;3;493;444;8;38
;;;;01036;Mahowe;PS1;771;1;381;325;21;34
;;;;01037;Uledi;PS1;276;0;168;102;14;52
;;;;01038;Muzimero;PS1;295;1;203;191;3;8
;;;;01039;Benthu;PS1;494;0;277;251;3;23
;;;;01040;Chibungumire;PS1;268;0;173;159;0;14
;;;;01041;Luwembe;PS1;383;0;244;217;5;22
;;;;01042;Mkule;PS1;315;0;235;228;2;5
;;;;01043;Vumo;PS1;463;0;233;205;6;22
;;;;01044;Kamirazovu;PS1;453;2;222;185;18;17
;;;;01147;Chiguza School;PS1;503;4;291;265;6;16
;;;Nthalire;01045;Therere;PS1;792;2;508;466;15;25
;;;;01046;Kalowe;PS1;904;0;601;532;3;66
;;;;01047;Rukuru;PS1;320;1;205;177;9;18
;;;;01048;Chinthi;PS1;577;2;277;197;14;64
;;;;01049;Kajaliro;PS1;422;0;231;200;8;23
;;;;01050;Chawezga;PS1;313;1;201;175;8;17
;;;;01051;Chimanga;PS1;333;3;216;194;9;10
;;;;01052;Kawembe;PS1;129;0;96;84;2;10
;;;;01053;Guya;PS1;335;1;134;115;12;6
;;;;01054;Salala;PS1;258;3;159;130;8;18
;;;;01055;Mambwe;PS1;359;0;125;104;12;9
;;;;01056;Kaperemera;PS1;301;0;208;176;1;31
;;;;01057;Chikanga;PS1;384;3;272;219;17;33
;;;;01058;Msongolera;PS1;408;1;283;259;8;15
;;;;01148;Nthalire LEA School;PS1;1,033;3;307;261;4;39
;;;;;;PS2;1,033;0;312;263;3;46
;Chitipa North;;Nkhangwa;01101;Kasisi School;PS1;860;0;378;299;15;64
;;;;01102;Ngoya School;PS1;1,024;1;261;220;3;37
;;;;;;PS2;1,024;1;281;234;11;35
;;;;01103;Nandanga School;PS1;1,092;1;309;255;4;49
;;;;;;PS2;1,092;0;282;219;4;59
;;;;01104;Njerengwa School;PS1;556;1;308;279;7;21
;;;;01105;Nkhangwa School;PS1;722;0;326;275;8;43
;;;;01106;Bupighu School;PS1;373;1;251;227;6;17
;;;;01107;Kalira School;PS1;651;3;308;272;11;22
;;;;01108;Kafora School;PS1;595;1;338;219;8;110
;;;;01109;Kapenda School;PS1;711;0;375;258;6;111
;;;;01110;Msyembele School;PS1;518;4;281;230;6;41
;;;;01111;Chizimu School;PS1;674;1;308;203;3;101
;;;;01112;Nakasale School;PS1;242;1;149;97;0;51
;;;;01113;Nansato School;PS1;451;3;282;193;14;72
;;;;01114;Ilomba School;PS1;775;0;328;163;4;161
;;;;01154;Kaghoma School;PS1;737;2;412;278;7;125
;;;;01155;Kasoba School;PS1;762;1;301;191;22;87
;;;Hanga;01115;Ilengo School;PS1;1,125;4;335;292;2;37
;;;;;;PS2;1,125;1;339;288;6;44
;;;;01116;Titi School;PS1;498;1;245;186;11;47
;;;;01117;Ipenza School;PS1;705;4;409;345;9;51
;;;;01118;Ipula School;PS1;364;2;196;171;5;18
;;;;01119;Chiwanga School;PS1;431;2;241;204;7;28
;;;;01120;Chipitu School;PS1;413;2;187;170;3;12
;;;;01121;Kapere School;PS1;506;1;292;230;5;56
;;;;01122;Nahatobo School;PS1;635;3;336;244;12;77
;;;;01123;Nankhonza School;PS1;606;2;335;308;1;24
;;;;01124;Nkhanga School;PS1;572;1;234;190;7;36
;;;;01156;Ibunzya School;PS1;537;0;275;205;11;59
;;;;01157;Zamamba School;PS1;596;1;339;304;7;27
;;;;01158;Malukwa School;PS1;693;4;212;182;5;21
;;;;01159;Nanyiru School;PS1;300;0;169;122;7;40
;;;;01160;Nahayombo School;PS1;380;0;169;132;2;35
;;;;01161;Chitete School;PS1;383;0;216;193;5;18
;;;;01162;Kapiri School;PS1;339;2;146;91;12;41
;Chitipa Wenya;;Chisenga;01125;Kalanga;PS1;495;2;302;243;17;40
;;;;01126;Chisenga CDSS;PS1;721;3;521;464;1;53
;;;;01127;Mulembe;PS1;409;3;274;237;4;30
;;;;01128;Kavomolo;PS1;286;1;170;157;2;10
;;;;01129;Chambo;PS1;576;2;340;267;6;65
;;;;01130;Madunda;PS1;380;0;210;144;3;63
;;;;01131;Chilambo;PS1;352;2;82;33;1;46
;;;;01132;Kakasu;PS1;487;1;216;172;3;40
;;;;01133;Kabanje;PS1;414;1;183;162;5;15
;;;;01163;Malaba School;PS1;243;2;174;142;1;29
;;;;01164;Nsato School;PS1;420;1;263;195;9;58
;;;;01165;Kayilizi School;PS1;267;0;178;164;4;10
;;;;01166;Mbalizi School;PS1;141;1;101;73;7;20
;;;Wenya;01134;Mpale;PS1;611;5;392;360;4;23
;;;;01135;Wenya;PS1;727;0;535;496;7;32
;;;;01136;Nkhumano;PS1;524;0;402;379;5;18
;;;;01137;Bale;PS1;317;8;194;175;4;7
;;;;01138;Kasasa;PS1;210;0;132;123;2;7
;;;;01139;Luvira;PS1;178;1;120;106;2;11
;;;;01140;Kasyololo;PS1;402;0;281;263;2;16
;;;;01141;Kamiramphande;PS1;575;1;309;278;3;27
;;;;01142;Kankhusya;PS1;330;3;199;186;2;8
;;;;01143;Nyimbiri Ground;PS1;340;0;226;212;1;13
;;;;01144;Mpemba School;PS1;168;1;128;124;3;0
;;;;01167;Mphanthe School;PS1;184;0;114;103;2;9
;;;;01168;Ukamba JP School;PS1;271;0;109;105;0;4
;Chitipa Central;;Zambwe;01059;Namuchese School;PS1;424;1;346;318;1;26
;;;;01060;Ibanda School;PS1;500;0;340;206;8;126
;;;;01061;Zambwe School;PS1;467;0;298;213;10;75
;;;;01062;Chendo School;PS1;836;0;474;356;14;104
;;;;01063;Mubanga School;PS1;1,215;0;372;320;2;50
;;;;;;PS2;1,215;0;364;312;7;45
;;;;01064;Lufita School;PS1;1,810;2;589;523;11;53
;;;;;;PS2;1,810;3;577;515;14;45
;;;;01065;Namatubi School;PS1;624;1;383;283;9;90
;;;;01066;Kanyenjere School;PS1;677;2;427;286;16;123
;;;;01067;Meru School;PS1;942;1;595;510;16;68
;;;;01068;Ntcherenje School;PS1;804;2;545;484;14;45
;;;;01069;Nachipanga-panga;PS1;487;1;247;161;7;78
;;;;01070;Miyombo School;PS1;408;2;263;216;15;30
;;;;01071;Ilema School;PS1;852;5;576;498;13;60
;;;;01072;Muselema School;PS1;830;7;572;482;12;71
;;;;01073;Tondola School;PS1;645;1;427;356;3;67
;;;;01074;Kadoli School;PS1;531;1;315;189;18;107
;;;;01075;Mung'ongo School;PS1;340;1;239;198;11;29
;;;;01076;Nkhamanga School;PS1;652;5;415;283;19;108
;;;;01149;Chaba School;PS1;613;1;312;177;15;119
;;;;01150;Chiparanje School;PS1;565;2;305;203;18;82
;;;Yamba;01077;Ifumbo School;PS1;808;4;615;560;7;44
;;;;01078;Chinunkha School;PS1;471;1;316;281;2;32
;;;;01079;Chitipa Model School;PS1;1,354;1;492;444;8;39
;;;;;;PS2;1,354;3;481;437;3;38
;;;;01080;Ipulukutu School;PS1;400;0;304;280;6;18
;;;;01081;Isyalikira School;PS1;1,617;0;534;483;2;49
;;;;;;PS2;1,617;0;542;493;2;47
;;;;01082;Kasinde School;PS1;527;0;305;230;11;64
;;;;01083;Mwakalomba School;PS1;248;1;157;141;0;15
;;;;01084;Ichinga School;PS1;665;2;469;422;7;38
;;;;01085;Katutula School;PS1;1,065;1;336;299;1;35
;;;;;;PS2;1,065;3;293;261;1;28
;;;;01086;Kawale School;PS1;1,585;2;492;432;2;56
;;;;;;PS2;1,585;1;453;381;10;61
;;;;;;PS3;1,585;0;102;85;1;16
;;;;01087;Msangano School;PS1;360;1;185;129;10;45
;;;;01088;Chitipa Community Hall;PS1;3,771;1;661;602;2;56
;;;;;;PS2;3,771;2;673;610;3;58
;;;;;;PS3;3,771;0;645;583;2;60
;;;;;;PS4;3,771;3;633;560;3;67
;;;;01089;Lwakwa School;PS1;815;1;458;336;15;106
;;;;01090;Chimwemwe School;PS1;875;2;568;461;7;98
;;;;01091;Lwambo School;PS1;671;2;346;276;6;62
;;;;01092;Ilanga School;PS1;657;2;407;355;9;41
;;;;01093;Muswero School;PS1;304;2;195;178;4;11
;;;;01094;Namuyemba School;PS1;830;2;463;425;6;30
;;;;01095;Chitipa CCAP School;PS1;2,938;0;664;599;2;63
;;;;;;PS2;2,938;1;689;618;6;64
;;;;;;PS3;2,938;1;659;582;4;72
;;;;01096;Yamba School;PS1;520;3;352;281;6;62
;;;;01097;Kakoma School;PS1;532;2;248;172;17;57
;;;;01098;Kaseye School;PS1;503;0;351;322;4;25
;;;;01099;Mbula School;PS1;307;4;216;191;5;16
;;;;01100;Zungwala School;PS1;201;0;143;92;5;46
;;;;01151;Naviziba school;PS1;390;1;279;236;8;34
;;;;01152;Nakachenja School;PS1;655;2;300;240;9;49
;;;;01153;Chiwale School;PS1;188;1;142;117;4;20
Karonga;Karonga North West;;Chilanga;02030;Ngerenge CDSS;PS1;1,396;3;352;309;5;35
;;;;;;PS2;1,396;4;352;284;8;56
;;;;02031;Kakoma School;PS1;1,591;0;424;341;8;75
;;;;;;PS2;1,591;8;431;348;5;70
;;;;02032;Nchobo School;PS1;1,353;4;346;279;2;61
;;;;;;PS2;1,353;3;370;296;5;66
;;;;02033;Malo School;PS1;1,367;7;411;347;9;48
;;;;;;PS2;1,367;5;415;347;6;57
;;;;02034;Kasisi School;PS1;1,047;2;260;203;11;44
;;;;;;PS2;1,047;2;293;221;9;61
;;;;02035;Nkhando School;PS1;827;6;527;407;5;109
;;;;02036;Filaule School;PS1;699;3;346;294;7;42
;;;;02037;Bwiliro School;PS1;947;3;591;563;6;19
;;;;02038;Kayuni School;PS1;885;2;439;398;15;24
